 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   181     6    30  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.007       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   212     7    31  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   243     8    31  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   273     9    30  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.614       0.000       0.059       0.000       0.000       0.000       0.000       0.000       0.000
   304    10    31  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.147       0.000       0.006       0.000       0.000       0.000       0.000       0.000       0.000
   334    11    30  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.009       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2019       1       1  Comunidad_de_rie       0.000       0.000       0.000       3.331       0.000       0.087       0.000       0.000       0.000       0.000       0.000       0.000
    31     1    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       2.395       0.000       0.195       0.000       0.000       0.000       0.000       0.000       0.000
    60     2    29  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.741       0.000       0.046       0.000       0.000       0.000       0.000       0.000       0.000
    91     3    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.272       0.000       0.011       0.000       0.000       0.000       0.000       0.000       0.000
   121     4    30  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.070       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000
   152     5    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.229       0.000       0.010       0.000       0.000       0.000       0.000       0.000       0.000
   182     6    30  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.013       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
   213     7    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   244     8    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   274     9    30  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   305    10    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   335    11    30  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       2.261       0.000       0.266       0.000       0.000       0.000       0.000       0.000       0.000
   366    12    31  2020       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.528       0.000       0.022       0.000       0.000       0.000       0.000       0.000       0.000
    31     1    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.906       0.000       0.038       0.000       0.000       0.000       0.000       0.000       0.000
    59     2    28  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.056       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
    90     3    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.257       0.000       0.005       0.000       0.000       0.000       0.000       0.000       0.000
   120     4    30  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.026       0.000       0.001       0.000       0.000       0.000       0.000       0.000       0.000
   151     5    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   181     6    30  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   212     7    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.329       0.000       0.007       0.000       0.000       0.000       0.000       0.000       0.000
   243     8    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.204       0.000       0.004       0.000       0.000       0.000       0.000       0.000       0.000
   273     9    30  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.348       0.000       0.008       0.000       0.000       0.000       0.000       0.000       0.000
   304    10    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.111       0.000       0.005       0.000       0.000       0.000       0.000       0.000       0.000
   334    11    30  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.294       0.000       0.097       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.440       0.000       0.023       0.000       0.000       0.000       0.000       0.000       0.000
    31     1    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.003       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    59     2    28  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
    90     3    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   120     4    30  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   151     5    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   181     6    30  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   212     7    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   243     8    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
   273     9    30  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       1.135       0.000       0.010       0.000       0.000       0.000       0.000       0.000       0.000
   304    10    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       2.480       0.000       0.037       0.000       0.000       0.000       0.000       0.000       0.000
   334    11    30  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.688       0.000       0.015       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2022       1       1  Comunidad_de_rie       0.000       0.000       0.000       0.184       0.000       0.005       0.000       0.000       0.000       0.000       0.000       0.000
