 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2022 rtu010          ru      sdc           1 tot   1.000000       73929.53      7.1324590E-03  2.8607724E-06  8.5823240E-06   364.9381       9.466308      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6582961E-04  2.6582961E-04  2.6582961E-04  2.6582961E-04  2.6582961E-04  0.0000000E+00  4.0189411E-02
         365          12          31        2022 rtu010          ru      aqu          50 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu020          ru      sdc           2 tot   1.000000       14622.62      1.0481587E-03  6.6735896E-07  2.0020780E-06   72.16468       1.871929      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5956993E-04  2.5956993E-04  2.5956993E-04  2.5956993E-04  2.5956993E-04  0.0000000E+00  4.0189587E-02
         365          12          31        2022 rtu020          ru      aqu           4 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu030          ru      sdc           3 tot   1.000000       44.80880      2.9180376E-06  3.5761707E-09  1.0728511E-08  0.1552787      4.0278337E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1516142E-04  3.1516142E-04  3.1516142E-04  3.1516142E-04  3.1516142E-04  0.0000000E+00  4.0189318E-02
         365          12          31        2022 rtu030          ru      aqu          10 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu040          ru      sdc           4 tot   1.000000       2160.778      2.7066648E-03  2.9310394E-07  8.7931215E-07   8.971333      0.2327133      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5737484E-04  4.5737484E-04  4.5737484E-04  4.5737484E-04  4.5737484E-04  0.0000000E+00  4.0189553E-02
         365          12          31        2022 rtu040          ru      aqu          34 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu050          ru      sdc           5 tot   1.000000       64.72401      8.9164769E-06  6.3400343E-09  1.9020115E-08  0.2293926      5.9503061E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7978301E-04  3.7978301E-04  3.7978301E-04  3.7978301E-04  3.7978301E-04  0.0000000E+00  4.0189315E-02
         365          12          31        2022 rtu050          ru      aqu          29 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu060          ru      sdc           6 tot   1.000000       886.2183      5.3403492E-04  1.0043559E-07  3.0130678E-07   3.447193      8.9419700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.1099489E-04  4.1099489E-04  4.1099489E-04  4.1099489E-04  4.1099489E-04  0.0000000E+00  4.0189710E-02
         365          12          31        2022 rtu060          ru      aqu          38 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu070          ru      sdc           7 tot   1.000000       14523.03      1.2298081E-03  8.1128604E-07  2.4338583E-06   72.65073       1.884541      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1124933E-04  1.1124933E-04  1.1124933E-04  1.1124933E-04  1.1124933E-04  0.0000000E+00  4.0189631E-02
         365          12          31        2022 rtu070          ru      aqu          18 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu080          ru      sdc           8 tot   1.000000       15981.80      1.3677458E-03  8.8595561E-07  2.6578682E-06   79.94835       2.073835      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1039956E-04  1.1039956E-04  1.1039956E-04  1.1039956E-04  1.1039956E-04  0.0000000E+00  4.0189587E-02
         365          12          31        2022 rtu080          ru      aqu          20 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu090          ru      sdc           9 tot   1.000000       21961.29      1.8782957E-03  1.1490695E-06  3.4472096E-06   109.8605       2.849747      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0420034E-04  1.0420034E-04  1.0420034E-04  1.0420034E-04  1.0420034E-04  0.0000000E+00  4.0189572E-02
         365          12          31        2022 rtu090          ru      aqu          22 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu100          ru      sdc          10 tot   1.000000       32461.32      2.7811828E-03  1.5814114E-06  4.7442359E-06   162.3862       4.212254      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1566324E-04  2.1566324E-04  2.1566324E-04  2.1566324E-04  2.1566324E-04  0.0000000E+00  4.0189616E-02
         365          12          31        2022 rtu100          ru      aqu          23 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu110          ru      sdc          11 tot   1.000000       61880.70      5.3517800E-03  2.6381849E-06  7.9145557E-06   308.8617       8.011757      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6082280E-04  2.6082280E-04  2.6082280E-04  2.6082280E-04  2.6082280E-04  0.0000000E+00  4.0189542E-02
         365          12          31        2022 rtu110          ru      aqu          26 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu120          ru      sdc          12 tot   1.000000       5820.164      4.9138285E-04  3.7789343E-07  1.1336803E-06   29.11492      0.7552379      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2930490E-04  1.2930490E-04  1.2930490E-04  1.2930490E-04  1.2930490E-04  0.0000000E+00  4.0189750E-02
         365          12          31        2022 rtu120          ru      aqu          39 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu130          ru      sdc          13 tot   1.000000       4784.583      4.6697547E-04  3.6234570E-07  1.0870377E-06   23.93498      0.6208587      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6901631E-04  2.6901631E-04  2.6901631E-04  2.6901631E-04  2.6901631E-04  0.0000000E+00  4.0189322E-02
         365          12          31        2022 rtu130          ru      aqu          62 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu140          ru      sdc          14 tot   1.000000       143687.0      1.2151007E-02  5.1339721E-06  1.5401916E-05   715.7695       18.56671      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5679136E-04  2.5679136E-04  2.5679136E-04  2.5679136E-04  2.5679136E-04  0.0000000E+00  4.0189408E-02
         365          12          31        2022 rtu140          ru      aqu          66 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu150          ru      sdc          15 tot   1.000000       24.89377      3.4006339E-06  2.1133000E-09  6.3399037E-09  9.3327507E-02  2.4208580E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3459658E-04  3.3459658E-04  3.3459658E-04  3.3459658E-04  3.3459658E-04  0.0000000E+00  4.0189322E-02
         365          12          31        2022 rtu150          ru      aqu          77 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu160          ru      sdc          16 tot   1.000000       26800.66      2.1482389E-03  1.2543368E-06  3.7630107E-06   133.4243       3.460997      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7493815E-04  2.7493815E-04  2.7493815E-04  2.7493815E-04  2.7493815E-04  0.0000000E+00  4.0189665E-02
         365          12          31        2022 rtu160          ru      aqu          12 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu170          ru      sdc          17 tot   1.000000       80342.24      7.1516978E-03  3.3059052E-06  9.9177150E-06   398.0004       10.32391      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6723454E-04  2.6723454E-04  2.6723454E-04  2.6723454E-04  2.6723454E-04  0.0000000E+00  4.0189371E-02
         365          12          31        2022 rtu170          ru      aqu           2 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu180          ru      sdc          18 tot   1.000000       84828.38      6.1407532E-03  2.9216092E-06  8.7648286E-06   422.4986       10.95936      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3380661E-04  2.3380661E-04  2.3380661E-04  2.3380661E-04  2.3380661E-04  0.0000000E+00  4.0189341E-02
         365          12          31        2022 rtu180          ru      aqu          36 rhg   1.000000      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         365          12          31        2022 rtu190          ru      sdc          19 tot   1.000000       34348.61      2.6867711E-03  1.5197635E-06  4.5592901E-06   171.8291       4.457148      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0681520E-04  2.0681520E-04  2.0681520E-04  2.0681520E-04  2.0681520E-04  0.0000000E+00  4.0189374E-02
