 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
    90     3    31  2017         1     1  Comunidad_de_rieg     0.2153E+02     0.0000E+00     0.2128E+02     0.3380E+02     0.7293E-02     0.7464E-02     0.3647E-02     0.0000E+00     0.2975E-02     0.3801E-04     0.3780E-02     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.7971E-04     0.7014E-02     0.0000E+00     0.4711E+02     0.0000E+00     0.4642E+02     0.5247E-01
   120     4    30  2017         1     1  Comunidad_de_rieg     0.1776E+01     0.0000E+00     0.1615E+01     0.3128E+01     0.1265E-02     0.9069E-03     0.5561E-03     0.0000E+00     0.4677E-03     0.0000E+00     0.3509E-03     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.7462E-03     0.0000E+00     0.5264E+01     0.0000E+00     0.4811E+01     0.1685E-01
   151     5    31  2017         1     1  Comunidad_de_rieg     0.4344E+00     0.0000E+00     0.5411E+00     0.4811E+00     0.1519E-03     0.4209E-04     0.4188E-04     0.0000E+00     0.4184E-04     0.0000E+00     0.2039E-06     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.1017E-06     0.0000E+00     0.2360E+00     0.0000E+00     0.4103E+00     0.1139E-01
   181     6    30  2017         1     1  Comunidad_de_rieg     0.1259E-02     0.0000E+00     0.1456E-02     0.2691E-02     0.5616E-07     0.1238E-07     0.1238E-07     0.0000E+00     0.1238E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3913E-02     0.0000E+00     0.1300E-01     0.1335E-05
   212     7    31  2017         1     1  Comunidad_de_rieg     0.8440E-05     0.0000E+00     0.8440E-05     0.2088E-04     0.5206E-07     0.9106E-08     0.9106E-08     0.0000E+00     0.9106E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3339E-04     0.0000E+00     0.2457E-03     0.4333E-06
   243     8    31  2017         1     1  Comunidad_de_rieg     0.1078E-02     0.0000E+00     0.1191E-02     0.2411E-02     0.5232E-07     0.9777E-08     0.9777E-08     0.0000E+00     0.9777E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3587E-02     0.0000E+00     0.1217E-01     0.4216E-06
   273     9    30  2017         1     1  Comunidad_de_rieg     0.1932E+01     0.0000E+00     0.1823E+01     0.3231E+01     0.4810E-03     0.5054E-03     0.2405E-03     0.0000E+00     0.2002E-03     0.0000E+00     0.2649E-03     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.6127E-03     0.0000E+00     0.5089E+01     0.0000E+00     0.4837E+01     0.1223E-01
   304    10    31  2017         1     1  Comunidad_de_rieg     0.7088E-02     0.0000E+00     0.1025E-01     0.1047E-01     0.1448E-06     0.5775E-07     0.5775E-07     0.0000E+00     0.5775E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1059E-01     0.0000E+00     0.3574E-01     0.3030E-03
   334    11    30  2017         1     1  Comunidad_de_rieg     0.6814E-04     0.0000E+00     0.6916E-04     0.1754E-03     0.5212E-07     0.9004E-08     0.9004E-08     0.0000E+00     0.9004E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.3163E-03     0.0000E+00     0.2281E-02     0.3984E-06
   365    12    31  2017         1     1  Comunidad_de_rieg     0.1318E-02     0.0000E+00     0.1506E-02     0.3018E-02     0.5261E-07     0.1460E-07     0.1460E-07     0.0000E+00     0.1460E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.4610E-02     0.0000E+00     0.1746E-01     0.3382E-06
    31     1    31  2018         1     1  Comunidad_de_rieg     0.2191E-02     0.0000E+00     0.2522E-02     0.5173E-02     0.5278E-07     0.1379E-07     0.1379E-07     0.0000E+00     0.1379E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.8112E-02     0.0000E+00     0.3101E-01     0.4554E-06
    59     2    28  2018         1     1  Comunidad_de_rieg     0.1099E+02     0.0000E+00     0.1059E+02     0.1790E+02     0.4605E-02     0.4621E-02     0.2287E-02     0.0000E+00     0.1810E-02     0.9963E-05     0.2324E-02     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.2044E-04     0.4391E-02     0.0000E+00     0.2916E+02     0.0000E+00     0.2792E+02     0.4432E-01
    90     3    31  2018         1     1  Comunidad_de_rieg     0.6454E+00     0.0000E+00     0.7979E+00     0.7127E+00     0.1211E-03     0.3515E-04     0.3323E-04     0.0000E+00     0.3173E-04     0.0000E+00     0.1927E-05     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.7830E-06     0.0000E+00     0.3512E+00     0.0000E+00     0.6046E+00     0.8993E-02
   120     4    30  2018         1     1  Comunidad_de_rieg     0.5762E-03     0.0000E+00     0.7021E-03     0.1326E-02     0.5539E-07     0.1060E-07     0.1060E-07     0.0000E+00     0.1060E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.2119E-02     0.0000E+00     0.7522E-02     0.5397E-04
   151     5    31  2018         1     1  Comunidad_de_rieg     0.6913E-07     0.0000E+00     0.6913E-07     0.2194E-06     0.5205E-07     0.2711E-08     0.2711E-08     0.0000E+00     0.2711E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.2222E-06     0.0000E+00     0.1233E-05     0.4862E-06
   181     6    30  2018         1     1  Comunidad_de_rieg     0.6396E+02     0.0000E+00     0.6373E+02     0.9928E+02     0.1984E-01     0.2376E-01     0.9919E-02     0.0000E+00     0.9105E-02     0.1721E-03     0.1366E-01     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.3966E-03     0.1500E-01     0.0000E+00     0.1405E+03     0.0000E+00     0.1397E+03     0.5735E-01
   212     7    31  2018         1     1  Comunidad_de_rieg     0.4084E-01     0.0000E+00     0.5871E-01     0.4094E-01     0.2048E-05     0.1005E-05     0.1005E-05     0.0000E+00     0.1005E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1925E+01     0.1697E+00     0.7000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1310E-01     0.0000E+00     0.1986E-01     0.2474E-02
