 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   365    12    31  2022       1       1  cha01                0.1103E+02     0.1026E+04     0.1441E+03     0.1538E+03     0.1402E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5761E-34     0.1459E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2286E-33     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.2213E-02     0.7064E-02     0.2503E-05     0.7510E-05     0.2354E+03     0.8821E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2326E-03     0.2326E-03     0.2326E-03     0.2326E-03     0.2326E-03     0.0000E+00     0.4257E-01     0.2219E-02     0.2950E-02     0.1387E-06     0.0000E+00     0.1353E+03     0.6094E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5703E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7388E+07     0.1377E+02
   365    12    31  2022       2       2  cha02                0.6138E+00     0.5711E+02     0.8018E+01     0.8557E+01     0.7802E-02     0.1293E-37     0.0000E+00     0.0000E+00     0.6535E-35     0.1670E-36     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1730E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.4377E-03     0.1039E-02     0.5840E-06     0.1752E-05     0.4656E+02     0.1744E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2271E-03     0.2271E-03     0.2271E-03     0.2271E-03     0.2271E-03     0.0000E+00     0.4257E-01     0.4380E-03     0.4254E-03     0.3878E-07     0.0000E+00     0.3106E+02     0.1350E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9439E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2860E+10     0.1377E+02
   365    12    31  2022       3       3  cha03                0.1447E+00     0.1346E+02     0.3221E+01     0.2942E+01     0.2364E+00     0.3562E-09     0.8525E-11     0.0000E+00     0.1080E-06     0.2805E-08     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1950E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.1085E-01     0.9807E-02     0.1587E-05     0.1862E-05     0.6377E+03     0.2851E+02     0.0000E+00     0.2829E-09     0.5225E-10     0.0000E+00     0.9904E+03     0.2758E-03     0.2758E-03     0.2758E-03     0.2758E-03     0.2758E-03     0.0000E+00     0.1440E+08     0.1085E-01     0.4913E-02     0.1580E-05     0.6417E-08     0.6376E+03     0.2851E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1122E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1978E+08     0.1377E+02
   365    12    31  2022       4       4  cha04                0.6832E+01     0.6357E+03     0.2623E+03     0.2037E+03     0.3898E+02     0.7342E-06     0.9986E-09     0.9835E-18     0.1002E+00     0.2515E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3687E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.3877E-01     0.1274E+00     0.2724E-04     0.6197E-04     0.1004E+05     0.5987E+03     0.0000E+00     0.3463E-05     0.6195E-05     0.0000E+00     0.9547E+04     0.4002E-03     0.4002E-03     0.4002E-03     0.4002E-03     0.4002E-03     0.0000E+00     0.4133E+04     0.3877E-01     0.1142E+00     0.2608E-04     0.2570E-04     0.1005E+05     0.5990E+03     0.0000E+00     0.5876E-10     0.6057E-11     0.0000E+00     0.1007E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3530E+04     0.1377E+02
   365    12    31  2022       5       5  cha05                0.2430E+00     0.2261E+02     0.1141E+02     0.8299E+01     0.1105E+01     0.2718E-07     0.8965E-10     0.0000E+00     0.1236E-02     0.3172E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1089E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.1172E-01     0.2159E-01     0.1809E-05     0.2545E-05     0.7638E+03     0.3375E+02     0.0000E+00     0.2912E-09     0.2756E-06     0.0000E+00     0.1865E+04     0.3323E-03     0.3323E-03     0.3323E-03     0.3323E-03     0.3323E-03     0.0000E+00     0.7173E+05     0.1172E-01     0.1084E-01     0.1789E-05     0.9791E-06     0.7638E+03     0.3375E+02     0.0000E+00     0.0000E+00     0.3553E-11     0.0000E+00     0.1996E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6990E+05     0.1377E+02
   365    12    31  2022       6       6  cha06                0.6728E-01     0.6259E+01     0.8787E+00     0.9379E+00     0.8551E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.9037E-36     0.2349E-37     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2727E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.2653E-04     0.5274E-03     0.8789E-07     0.2637E-06     0.2224E+01     0.8333E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3597E-03     0.3597E-03     0.3597E-03     0.3597E-03     0.3597E-03     0.0000E+00     0.4257E-01     0.2656E-04     0.2702E-03     0.4348E-08     0.0000E+00     0.1834E+01     0.7519E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7530E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6751E+13     0.1377E+02
   365    12    31  2022       7       7  cha07                0.5860E+00     0.5452E+02     0.7654E+01     0.8169E+01     0.7448E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1895E-35     0.4867E-37     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3525E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.4347E-03     0.1219E-02     0.7099E-06     0.2130E-05     0.4687E+02     0.1756E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9735E-04     0.9735E-04     0.9735E-04     0.9735E-04     0.9735E-04     0.0000E+00     0.4257E-01     0.4350E-03     0.1014E-01     0.5073E-07     0.0000E+00     0.3444E+02     0.1466E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8490E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3037E+10     0.1377E+02
   365    12    31  2022       8       8  cha08                0.8580E+00     0.7983E+02     0.1121E+02     0.1196E+02     0.1091E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3724E-35     0.9564E-37     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7684E-35     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.4784E-03     0.1356E-02     0.7753E-06     0.2326E-05     0.5158E+02     0.1933E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9661E-04     0.9661E-04     0.9661E-04     0.9661E-04     0.9661E-04     0.0000E+00     0.4257E-01     0.4789E-03     0.4950E-02     0.5380E-07     0.0000E+00     0.3776E+02     0.1609E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1044E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1718E+10     0.1377E+02
   365    12    31  2022       9       9  cha09                0.1264E+01     0.1176E+03     0.1651E+02     0.1762E+02     0.1606E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.5882E-35     0.1509E-36     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1279E-34     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1377E+02     0.6574E-03     0.1862E-02     0.1006E-05     0.3017E-05     0.7088E+02     0.2656E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9118E-04     0.9118E-04     0.9118E-04     0.9118E-04     0.9118E-04     0.0000E+00     0.4257E-01     0.6581E-03     0.4640E-02     0.6900E-07     0.0000E+00     0.5071E+02     0.2173E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1448E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6298E+09     0.1377E+02
