 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    31     1    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.276      -0.668            0.000            0.000            0.000            0.000            0.872            0.062            0.149            2.421            0.424            0.000            0.000            0.000            0.000            0.000            0.000
    60     2    29  2016       1       1  Comunidad_de_rie       0.000       0.000      -0.461      -0.622            0.000            0.000            0.000            0.000            0.819            0.053            0.140            1.675            0.293            0.000            0.000            4.802            0.859            0.000            0.000
    91     3    31  2016       1       1  Comunidad_de_rie       0.000       0.000       0.103      -0.665            0.000            0.000            0.000            0.000            0.880            0.048            0.151            1.325            0.232            0.000            0.000            0.409            0.000            0.000            0.000
   121     4    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.062      -0.641            0.000            0.000            0.000            0.000            0.887            0.037            0.152            0.943            0.165            0.000            0.000            0.823            0.000            0.000            0.000
   152     5    31  2016       1       1  Comunidad_de_rie       0.000       0.000      -0.054      -0.664            0.000            0.000            0.000            0.000            0.937            0.027            0.160            0.718            0.126            0.000            0.000            0.798            0.120            0.000            0.000
   182     6    30  2016       1       1  Comunidad_de_rie       0.000       0.000       0.010      -0.646            0.000            0.000            0.000            0.000            0.958            0.014            0.164            0.511            0.089            0.000            0.000            0.000            0.000            0.000            0.000
   213     7    31  2016       1       1  Comunidad_de_rie       0.000       0.000      -0.005      -0.671            0.000            0.000            0.000            0.000            1.015            0.001            0.174            0.389            0.068            0.000            0.000            0.000            0.000            0.000            0.000
   244     8    31  2016       1       1  Comunidad_de_rie       0.000       0.000      -0.111      -0.675            0.000            0.000            0.000            0.000            1.016           -0.013            0.174            0.285            0.050            0.000            0.000            0.693            0.125            0.000            0.000
   274     9    30  2016       1       1  Comunidad_de_rie       0.000       0.000      -0.101      -0.658            0.000            0.000            0.000            0.000            0.970           -0.026            0.166            0.266            0.047            0.000            0.000            0.829            0.166            0.000            0.000
