 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  2022       1       1  cha01                0.2222E-02     0.0000E+00     0.2228E-02     0.8103E-02     0.7064E-02     0.2958E-02     0.2864E-02     0.0000E+00     0.2831E-02     0.0000E+00     0.9399E-04     0.0000E+00     0.7118E+00     0.8746E-01     0.3600E-03     0.0000E+00     0.2714E-03     0.0000E+00     0.1882E+03     0.0000E+00     0.1887E+03     0.4509E-05
   365    12    31  2022       2       2  cha02                0.4395E-03     0.0000E+00     0.4399E-03     0.2047E-02     0.1039E-02     0.4257E-03     0.4257E-03     0.0000E+00     0.4256E-03     0.0000E+00     0.1307E-07     0.0000E+00     0.2692E+00     0.4574E-01     0.1000E-04     0.0000E+00     0.2436E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1883E+03     0.2708E-06
   365    12    31  2022       3       3  cha03                0.1090E-01     0.0000E+00     0.1089E-01     0.1915E-01     0.9807E-02     0.4915E-02     0.4903E-02     0.0000E+00     0.4901E-02     0.0000E+00     0.1148E-04     0.0000E+00     0.1863E+01     0.1661E+00     0.1000E-04     0.0000E+00     0.8086E-05     0.0000E+00     0.1856E+03     0.0000E+00     0.1856E+03     0.5174E-07
   365    12    31  2022       4       4  cha04                0.3894E-01     0.0000E+00     0.3893E-01     0.3894E-01     0.1274E+00     0.1143E+00     0.6371E-01     0.0000E+00     0.1896E-01     0.0000E+00     0.5055E-01     0.0000E+00     0.4038E+01     0.2782E+00     0.8100E-03     0.0000E+00     0.9527E-02     0.0000E+00     0.1828E+03     0.0000E+00     0.1827E+03     0.2737E-04
   365    12    31  2022       5       5  cha05                0.1177E-01     0.0000E+00     0.1177E-01     0.1974E-01     0.2159E-01     0.1085E-01     0.1080E-01     0.0000E+00     0.1075E-01     0.0000E+00     0.4988E-04     0.0000E+00     0.1944E+01     0.1709E+00     0.1000E-04     0.0000E+00     0.3039E-04     0.0000E+00     0.1867E+03     0.0000E+00     0.1867E+03     0.4993E-06
   365    12    31  2022       6       6  cha06                0.2664E-04     0.0000E+00     0.2668E-04     0.1326E-03     0.5274E-03     0.2705E-03     0.2632E-03     0.0000E+00     0.2614E-03     0.0000E+00     0.7291E-05     0.0000E+00     0.5007E-01     0.1490E-01     0.1000E-04     0.0000E+00     0.1486E-03     0.0000E+00     0.1882E+03     0.0000E+00     0.1885E+03     0.5731E-06
   365    12    31  2022       7       7  cha07                0.4365E-03     0.0000E+00     0.4369E-03     0.2034E-02     0.1219E-02     0.1014E-01     0.5273E-03     0.0000E+00     0.3479E-04     0.0000E+00     0.9614E-02     0.0000E+00     0.2681E+00     0.4561E-01     0.3290E-02     0.0000E+00     0.8307E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1883E+03     0.2443E-05
   365    12    31  2022       8       8  cha08                0.4804E-03     0.0000E+00     0.4809E-03     0.2224E-02     0.1356E-02     0.4954E-02     0.5851E-03     0.0000E+00     0.7464E-04     0.0000E+00     0.4369E-02     0.0000E+00     0.2840E+00     0.4739E-01     0.1470E-02     0.0000E+00     0.3200E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1884E+03     0.2217E-05
   365    12    31  2022       9       9  cha09                0.6601E-03     0.0000E+00     0.6608E-03     0.2973E-02     0.1862E-02     0.4645E-02     0.7898E-03     0.0000E+00     0.2557E-03     0.0000E+00     0.3855E-02     0.0000E+00     0.3436E+00     0.5382E-01     0.1340E-02     0.0000E+00     0.2260E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1884E+03     0.2481E-05
   365    12    31  2022      10      10  cha10                0.9758E-03     0.0000E+00     0.9770E-03     0.4195E-02     0.2757E-02     0.3480E-02     0.1143E-02     0.0000E+00     0.7656E-03     0.0000E+00     0.2337E-02     0.0000E+00     0.4344E+00     0.6292E-01     0.9500E-03     0.0000E+00     0.9977E-02     0.0000E+00     0.1882E+03     0.0000E+00     0.1884E+03     0.2766E-05
   365    12    31  2022      11      11  cha11                0.1860E-02     0.0000E+00     0.1861E-02     0.7096E-02     0.5304E-02     0.6576E-02     0.2114E-02     0.0000E+00     0.1418E-02     0.0000E+00     0.4462E-02     0.0000E+00     0.6398E+00     0.8145E-01     0.1330E-02     0.0000E+00     0.1218E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1883E+03     0.2582E-05
   365    12    31  2022      12      12  cha12                0.1749E-03     0.0000E+00     0.1751E-03     0.8499E-03     0.4870E-03     0.3548E-02     0.2196E-03     0.0000E+00     0.4772E-04     0.0000E+00     0.3329E-02     0.0000E+00     0.1549E+00     0.3164E-01     0.1770E-02     0.0000E+00     0.4851E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1883E+03     0.8128E-06
   365    12    31  2022      13      13  cha13                0.4393E-02     0.0000E+00     0.4386E-02     0.1265E-01     0.1035E-01     0.5344E-02     0.5173E-02     0.0000E+00     0.5077E-02     0.0000E+00     0.1710E-03     0.0000E+00     0.1073E+01     0.1150E+00     0.1100E-03     0.0000E+00     0.2602E-03     0.0000E+00     0.1877E+03     0.0000E+00     0.1874E+03     0.8449E-05
   365    12    31  2022      14      14  cha14                0.4319E-02     0.0000E+00     0.4324E-02     0.1254E-01     0.1204E-01     0.4496E-02     0.4482E-02     0.0000E+00     0.4477E-02     0.0000E+00     0.1421E-04     0.0000E+00     0.1061E+01     0.1141E+00     0.2300E-03     0.0000E+00     0.2769E-04     0.0000E+00     0.1882E+03     0.0000E+00     0.1884E+03     0.3387E-05
   365    12    31  2022      15      15  cha15                0.1552E-01     0.0000E+00     0.1552E-01     0.2135E-01     0.1625E+00     0.8143E-01     0.8127E-01     0.0000E+00     0.8111E-01     0.0000E+00     0.1649E-03     0.0000E+00     0.2308E+01     0.1916E+00     0.1000E-04     0.0000E+00     0.7993E-04     0.0000E+00     0.1851E+03     0.0000E+00     0.1851E+03     0.1742E-06
   365    12    31  2022      16      16  cha16                0.8056E-03     0.0000E+00     0.8057E-03     0.3550E-02     0.2129E-02     0.3192E-01     0.8757E-03     0.0000E+00     0.2755E-03     0.3283E-03     0.3072E-01     0.0000E+00     0.3872E+00     0.6814E-01     0.1093E-01     0.1314E-02     0.1695E+00     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.6436E-06
   365    12    31  2022      17      17  cha17                0.2415E-02     0.0000E+00     0.2415E-02     0.8604E-02     0.7087E-02     0.2818E-02     0.2818E-02     0.0000E+00     0.2818E-02     0.0000E+00     0.1059E-06     0.0000E+00     0.7483E+00     0.9042E-01     0.1000E-04     0.0000E+00     0.3635E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.5525E-07
   365    12    31  2022      18      18  cha18                0.2550E-02     0.0000E+00     0.2550E-02     0.8941E-02     0.6087E-02     0.2224E-02     0.2224E-02     0.0000E+00     0.2224E-02     0.0000E+00     0.1127E-06     0.0000E+00     0.7731E+00     0.9240E-01     0.1000E-04     0.0000E+00     0.3667E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1966E-06
   365    12    31  2022      19      19  cha19                0.1032E-02     0.0000E+00     0.1033E-02     0.4403E-02     0.2663E-02     0.1069E-02     0.1069E-02     0.0000E+00     0.1069E-02     0.0000E+00     0.3833E-07     0.0000E+00     0.4494E+00     0.6436E-01     0.1000E-04     0.0000E+00     0.3060E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1284E-06
   365    12    31  2022      20      20  cha20                0.2263E-02     0.0000E+00     0.2263E-02     0.8210E-02     0.4957E-02     0.1741E-02     0.1741E-02     0.0000E+00     0.1741E-02     0.0000E+00     0.9818E-07     0.0000E+00     0.7196E+00     0.8809E-01     0.1000E-04     0.0000E+00     0.3596E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1083E-06
   365    12    31  2022      21      21  cha21                0.3742E-02     0.0000E+00     0.3742E-02     0.1151E-01     0.1052E-01     0.2007E-01     0.3989E-02     0.0000E+00     0.1842E-02     0.0000E+00     0.1608E-01     0.0000E+00     0.9730E+00     0.1077E+00     0.2340E-02     0.0000E+00     0.2581E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.8814E-06
   365    12    31  2022      22      22  cha22                0.6879E-02     0.0000E+00     0.6880E-02     0.1600E-01     0.1817E-01     0.6332E-02     0.6332E-02     0.0000E+00     0.6331E-02     0.0000E+00     0.3497E-06     0.0000E+00     0.1402E+01     0.1374E+00     0.1000E-04     0.0000E+00     0.4247E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.2838E-06
   365    12    31  2022      23      23  cha23                0.2809E-03     0.0000E+00     0.2809E-03     0.1342E-02     0.7345E-03     0.3222E-03     0.3222E-03     0.0000E+00     0.3222E-03     0.0000E+00     0.7323E-08     0.0000E+00     0.2058E+00     0.3824E-01     0.1000E-04     0.0000E+00     0.2129E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.4926E-07
   365    12    31  2022      24      24  cha24                0.2644E-02     0.0000E+00     0.2644E-02     0.9169E-02     0.6530E-02     0.2414E-02     0.2414E-02     0.0000E+00     0.2414E-02     0.0000E+00     0.1175E-06     0.0000E+00     0.7900E+00     0.9375E-01     0.1000E-04     0.0000E+00     0.3688E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1888E-06
   365    12    31  2022      25      25  cha25                0.8962E-02     0.0000E+00     0.8962E-02     0.1794E-01     0.2420E-01     0.8286E-02     0.8286E-02     0.0000E+00     0.8286E-02     0.0000E+00     0.4830E-06     0.0000E+00     0.1643E+01     0.1528E+00     0.1000E-04     0.0000E+00     0.4513E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.2103E-06
   365    12    31  2022      26      26  cha26                0.3203E-03     0.0000E+00     0.3204E-03     0.1520E-02     0.7212E-03     0.2968E-03     0.2968E-03     0.0000E+00     0.2968E-03     0.0000E+00     0.8683E-08     0.0000E+00     0.2226E+00     0.4030E-01     0.1000E-04     0.0000E+00     0.2216E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.8414E-07
   365    12    31  2022      27      27  cha27                0.7751E-03     0.0000E+00     0.7752E-03     0.3431E-02     0.1712E-02     0.8097E-03     0.6600E-03     0.0000E+00     0.6180E-03     0.0000E+00     0.1497E-03     0.0000E+00     0.3784E+00     0.5739E-01     0.2500E-03     0.0000E+00     0.6987E-03     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1135E-06
   365    12    31  2022      28      28  cha28                0.4129E-03     0.0000E+00     0.4130E-03     0.1931E-02     0.9345E-03     0.7445E-02     0.3771E-03     0.0000E+00     0.6947E-05     0.0000E+00     0.7068E-02     0.0000E+00     0.2593E+00     0.4461E-01     0.2280E-02     0.0000E+00     0.6099E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.4619E-06
   365    12    31  2022      29      29  cha29                0.1339E-02     0.0000E+00     0.1340E-02     0.5473E-02     0.3276E-02     0.4079E-02     0.1273E-02     0.0000E+00     0.8487E-03     0.0000E+00     0.2806E-02     0.0000E+00     0.5253E+00     0.7142E-01     0.1040E-02     0.0000E+00     0.9554E-02     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.3853E-06
   365    12    31  2022      30      30  cha30                0.6287E-03     0.0000E+00     0.6288E-03     0.2845E-02     0.1319E-02     0.5012E-03     0.5012E-03     0.0000E+00     0.5011E-03     0.0000E+00     0.2063E-07     0.0000E+00     0.3337E+00     0.5278E-01     0.1000E-04     0.0000E+00     0.2696E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.5688E-07
   365    12    31  2022      31      31  cha31                0.7347E-03     0.0000E+00     0.7348E-03     0.3272E-02     0.1546E-02     0.5834E-03     0.5834E-03     0.0000E+00     0.5834E-03     0.0000E+00     0.2511E-07     0.0000E+00     0.3664E+00     0.5617E-01     0.1000E-04     0.0000E+00     0.2810E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.9205E-07
   365    12    31  2022      32      32  cha32                0.2134E-02     0.0000E+00     0.2134E-02     0.7866E-02     0.5873E-02     0.1441E-01     0.2292E-02     0.0000E+00     0.7800E-03     0.0000E+00     0.1212E-01     0.0000E+00     0.6947E+00     0.8605E-01     0.2410E-02     0.0000E+00     0.3061E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.2060E-05
   365    12    31  2022      33      33  cha33                0.8463E-03     0.0000E+00     0.8464E-03     0.3707E-02     0.2381E-02     0.9951E-03     0.9951E-03     0.0000E+00     0.9951E-03     0.0000E+00     0.2996E-07     0.0000E+00     0.3988E+00     0.5944E-01     0.1000E-04     0.0000E+00     0.2914E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.9303E-07
   365    12    31  2022      34      34  cha34                0.2622E-02     0.0000E+00     0.2622E-02     0.9116E-02     0.6021E-02     0.2137E-02     0.2136E-02     0.0000E+00     0.2136E-02     0.0000E+00     0.1164E-06     0.0000E+00     0.7861E+00     0.9344E-01     0.1000E-04     0.0000E+00     0.3683E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1293E-06
   365    12    31  2022      35      35  cha35                0.2270E-02     0.0000E+00     0.2270E-02     0.8229E-02     0.4901E-02     0.1695E-02     0.1695E-02     0.0000E+00     0.1695E-02     0.0000E+00     0.9854E-07     0.0000E+00     0.7209E+00     0.8820E-01     0.1000E-04     0.0000E+00     0.3598E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.2036E-06
   365    12    31  2022      36      36  cha36                0.1113E-02     0.0000E+00     0.1113E-02     0.4693E-02     0.2382E-02     0.8702E-03     0.8702E-03     0.0000E+00     0.8702E-03     0.0000E+00     0.4204E-07     0.0000E+00     0.4701E+00     0.6633E-01     0.1000E-04     0.0000E+00     0.3114E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.6480E-07
   365    12    31  2022      37      37  cha37                0.1688E-02     0.0000E+00     0.1688E-02     0.6584E-02     0.3634E-02     0.1307E-02     0.1296E-02     0.0000E+00     0.1292E-02     0.0000E+00     0.1063E-04     0.0000E+00     0.6036E+00     0.7835E-01     0.2700E-03     0.0000E+00     0.5267E-04     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.8405E-07
   365    12    31  2022      38      38  cha38                0.1492E-02     0.0000E+00     0.1492E-02     0.5970E-02     0.3587E-02     0.1366E-02     0.1365E-02     0.0000E+00     0.1365E-02     0.0000E+00     0.3885E-06     0.0000E+00     0.5604E+00     0.7457E-01     0.7000E-04     0.0000E+00     0.2174E-05     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.5802E-07
   365    12    31  2022      39      39  cha39                0.2993E-04     0.0000E+00     0.2995E-04     0.1489E-03     0.2843E-03     0.6168E-03     0.1420E-03     0.0000E+00     0.8570E-04     0.0000E+00     0.4748E-03     0.0000E+00     0.5370E-01     0.1561E-01     0.4300E-03     0.0000E+00     0.1480E-01     0.0000E+00     0.1882E+03     0.0000E+00     0.1883E+03     0.1343E-06
   365    12    31  2022      40      40  cha40                0.2797E-01     0.0000E+00     0.2797E-01     0.2797E-01     0.3743E-01     0.1166E+00     0.1872E-01     0.0000E+00     0.1675E-02     0.0000E+00     0.9786E-01     0.0000E+00     0.3281E+01     0.2422E+00     0.1810E-02     0.0000E+00     0.2605E-01     0.0000E+00     0.1856E+03     0.0000E+00     0.1855E+03     0.3552E-04
   365    12    31  2022      41      41  cha41                0.2082E-02     0.0000E+00     0.1932E-02     0.7725E-02     0.3897E-02     0.1956E-02     0.1948E-02     0.0000E+00     0.1945E-02     0.0000E+00     0.7627E-05     0.0000E+00     0.6845E+00     0.8520E-01     0.1000E-04     0.0000E+00     0.1961E-04     0.0000E+00     0.1882E+03     0.0000E+00     0.1746E+03     0.6574E-05
   365    12    31  2022      42      42  cha42                0.9563E-04     0.0000E+00     0.9586E-04     0.4706E-03     0.4680E-03     0.2316E-03     0.2316E-03     0.0000E+00     0.2315E-03     0.0000E+00     0.1790E-08     0.0000E+00     0.1078E+00     0.2485E-01     0.1000E-04     0.0000E+00     0.1515E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1887E+03     0.6486E-06
   365    12    31  2022      43      43  cha43                0.1705E-01     0.0000E+00     0.1702E-01     0.2195E-01     0.6373E-01     0.3197E-01     0.3187E-01     0.0000E+00     0.3176E-01     0.0000E+00     0.1018E-03     0.0000E+00     0.2435E+01     0.1986E+00     0.1000E-04     0.0000E+00     0.4451E-04     0.0000E+00     0.1859E+03     0.0000E+00     0.1855E+03     0.2583E-04
   365    12    31  2022      44      44  cha44                0.1674E-01     0.0000E+00     0.1671E-01     0.2187E-01     0.1247E+00     0.6279E-01     0.6237E-01     0.0000E+00     0.6195E-01     0.0000E+00     0.4168E-03     0.0000E+00     0.2407E+01     0.1970E+00     0.1400E-03     0.0000E+00     0.1802E-03     0.0000E+00     0.1861E+03     0.0000E+00     0.1858E+03     0.4766E-04
   365    12    31  2022      45      45  cha45                0.4878E-02     0.0000E+00     0.4878E-02     0.1332E-01     0.3693E-01     0.1129E+00     0.1846E-01     0.0000E+00     0.6743E-03     0.1901E-03     0.9423E-01     0.0000E+00     0.1154E+01     0.1256E+00     0.7440E-02     0.6589E-03     0.1230E+00     0.0000E+00     0.1846E+03     0.0000E+00     0.1846E+03     0.1099E-05
   365    12    31  2022      46      46  cha46                0.4970E-02     0.0000E+00     0.4884E-02     0.1357E-01     0.3180E-01     0.1606E-01     0.1590E-01     0.0000E+00     0.1575E-01     0.0000E+00     0.1564E-03     0.0000E+00     0.1155E+01     0.1207E+00     0.9000E-04     0.0000E+00     0.2041E-03     0.0000E+00     0.1880E+03     0.0000E+00     0.1847E+03     0.6272E-04
   365    12    31  2022      47      47  cha47                0.2832E-02     0.0000E+00     0.2832E-02     0.9605E-02     0.4577E-01     0.2337E-01     0.2289E-01     0.0000E+00     0.2251E-01     0.0000E+00     0.4860E-03     0.0000E+00     0.8244E+00     0.9645E-01     0.2900E-03     0.0000E+00     0.1074E-02     0.0000E+00     0.1878E+03     0.0000E+00     0.1877E+03     0.8353E-05
   365    12    31  2022      48      48  cha48                0.1151E-02     0.0000E+00     0.1149E-02     0.4823E-02     0.1011E-01     0.5059E-02     0.5055E-02     0.0000E+00     0.5051E-02     0.0000E+00     0.3738E-05     0.0000E+00     0.4814E+00     0.6739E-01     0.1000E-04     0.0000E+00     0.1427E-04     0.0000E+00     0.1871E+03     0.0000E+00     0.1868E+03     0.7291E-06
   365    12    31  2022      49      49  cha49                0.1645E-02     0.0000E+00     0.1645E-02     0.6453E-02     0.8136E-02     0.4066E-01     0.4068E-02     0.0000E+00     0.5113E-03     0.4368E-04     0.3655E-01     0.0000E+00     0.5938E+00     0.7838E-01     0.6410E-02     0.1244E-03     0.1206E+00     0.0000E+00     0.1884E+03     0.0000E+00     0.1884E+03     0.9306E-06
   365    12    31  2022      50      50  cha50                0.6612E-03     0.0000E+00     0.6597E-03     0.2975E-02     0.1030E-01     0.5153E-02     0.5149E-02     0.0000E+00     0.5144E-02     0.0000E+00     0.4540E-05     0.0000E+00     0.3458E+00     0.5404E-01     0.1000E-04     0.0000E+00     0.2577E-04     0.0000E+00     0.1866E+03     0.0000E+00     0.1861E+03     0.1076E-05
   365    12    31  2022      51      51  cha51                0.2176E-03     0.0000E+00     0.2115E-03     0.1050E-02     0.3076E-03     0.1537E-03     0.1537E-03     0.0000E+00     0.1537E-03     0.0000E+00     0.5225E-08     0.0000E+00     0.1766E+00     0.3453E-01     0.1000E-04     0.0000E+00     0.1957E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1829E+03     0.2398E-06
   365    12    31  2022      52      52  cha52                0.1743E-03     0.0000E+00     0.1744E-03     0.8471E-03     0.4303E-03     0.1878E-03     0.1878E-03     0.0000E+00     0.1878E-03     0.0000E+00     0.3930E-08     0.0000E+00     0.1546E+00     0.3160E-01     0.1000E-04     0.0000E+00     0.1834E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1882E+03     0.1764E-07
   365    12    31  2022      53      53  cha53                0.1229E-02     0.0000E+00     0.1134E-02     0.5098E-02     0.3656E-01     0.1828E-01     0.1828E-01     0.0000E+00     0.1828E-01     0.0000E+00     0.4744E-07     0.0000E+00     0.4989E+00     0.6900E-01     0.1000E-04     0.0000E+00     0.3186E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1737E+03     0.5080E-04
   365    12    31  2022      54      54  cha54                0.4630E-03     0.0000E+00     0.4664E-03     0.2149E-02     0.3245E-02     0.1581E-02     0.1581E-02     0.0000E+00     0.1581E-02     0.0000E+00     0.1397E-07     0.0000E+00     0.2778E+00     0.4670E-01     0.1000E-04     0.0000E+00     0.2473E-06     0.0000E+00     0.1882E+03     0.0000E+00     0.1896E+03     0.1287E-04
   365    12    31  2022      55      55  cha55                0.2981E-02     0.0000E+00     0.2979E-02     0.9954E-02     0.7654E-02     0.1684E-01     0.3827E-02     0.0000E+00     0.2033E-02     0.0000E+00     0.1301E-01     0.0000E+00     0.8484E+00     0.9832E-01     0.2070E-02     0.0000E+00     0.2573E-01     0.0000E+00     0.1884E+03     0.0000E+00     0.1883E+03     0.5489E-05
