 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   305    10    31  2016         1     1  Comunidad_de_rieg          5.7562     0.7915E+03     0.7161E+03     0.7670E+03     0.5465E+01     0.6702E-07     0.9659E-09     0.2244E-08     0.5200E-02     0.1974E-04     0.0000E+00     0.1071E-09     0.0000E+00     0.0000E+00     0.1839E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2157E+02     0.2404E+00     0.2474E-02     0.7290E-05     0.2157E-04     0.3231E+03     0.1226E+01     0.0000E+00     0.4244E-10     0.2977E-11     0.0000E+00     0.1787E+03     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.4195E-07     0.3070E+00     0.1284E-02     0.1184E-06     0.3025E-09     0.1206E+03     0.4580E+00     0.0000E+00     0.4244E-10     0.2977E-11     0.0000E+00     0.2295E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3285E-07
   335    11    30  2016         1     1  Comunidad_de_rieg          5.7562     0.4102E+04     0.3540E+03     0.6260E+03     0.4226E+05     0.4328E-02     0.4203E-06     0.1259E-06     0.2884E+03     0.2592E+01     0.0000E+00     0.2432E-08     0.1560E-07     0.0000E+00     0.4171E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1252E+02     0.1590E+02     0.1671E+00     0.7467E-04     0.1241E-03     0.9148E+04     0.7026E+02     0.0000E+00     0.4554E-05     0.1653E-04     0.0000E+00     0.1100E+05     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.1253E+02     0.1542E+02     0.1693E+00     0.8476E-04     0.1362E-03     0.8513E+04     0.6564E+02     0.0000E+00     0.4554E-05     0.1995E-04     0.0000E+00     0.1254E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1242E+02
   366    12    31  2016         1     1  Comunidad_de_rieg          5.7562     0.1565E+04     0.7697E+03     0.1236E+04     0.6736E+04     0.2561E-03     0.3739E-07     0.2074E-14     0.6652E+02     0.1233E+01     0.0000E+00     0.2544E-18     0.5454E-18     0.0000E+00     0.6888E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.4630E+02     0.5106E+00     0.2311E-04     0.2170E-04     0.3605E+05     0.5393E+03     0.0000E+00     0.2432E-08     0.1560E-07     0.0000E+00     0.3290E+05     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.1991E+04     0.4656E+02     0.5174E+00     0.1799E-04     0.1262E-06     0.3463E+05     0.5087E+03     0.0000E+00     0.2432E-08     0.1560E-07     0.0000E+00     0.3788E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1341E+04
    31     1    31  2017         1     1  Comunidad_de_rieg          5.7562     0.5765E+04     0.6559E+03     0.9149E+03     0.3675E+05     0.4550E-02     0.2346E-06     0.1338E-07     0.1931E+03     0.6799E+01     0.0000E+00     0.6428E-12     0.7232E-29     0.0000E+00     0.3743E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1081E+02     0.6418E+02     0.6751E+00     0.2254E-03     0.2336E-03     0.2461E+05     0.6837E+03     0.0000E+00     0.2271E-08     0.5454E-18     0.0000E+00     0.4668E+05     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.4428E+02     0.6382E+02     0.7579E+00     0.2462E-03     0.2120E-03     0.2542E+05     0.6918E+03     0.0000E+00     0.2271E-08     0.5454E-18     0.0000E+00     0.5367E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3969E+02
    59     2    28  2017         1     1  Comunidad_de_rieg          5.7562     0.9670E+03     0.5830E+03     0.7105E+03     0.4731E+04     0.1261E-03     0.2910E-07     0.5583E-09     0.2245E+02     0.7926E+00     0.0000E+00     0.5521E-10     0.5315E-30     0.0000E+00     0.4600E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1652E+02     0.9246E+00     0.6382E-02     0.6905E-05     0.1949E-04     0.1108E+04     0.3940E+02     0.0000E+00     0.8659E-10     0.6701E-29     0.0000E+00     0.8012E+03     0.1457E-02     0.1457E-02     0.1457E-02     0.1457E-02     0.1457E-02     0.0000E+00     0.1242E+05     0.1133E+01     0.6824E-02     0.4824E-06     0.1628E-08     0.4964E+03     0.1756E+02     0.0000E+00     0.8659E-10     0.6701E-29     0.0000E+00     0.9832E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7650E+04
    90     3    31  2017         1     1  Comunidad_de_rieg          5.7562     0.3426E+04     0.1224E+04     0.8575E+03     0.1054E+05     0.7376E-03     0.6308E-07     0.6870E-08     0.1999E+02     0.1005E+01     0.0000E+00     0.2256E-12     0.0000E+00     0.0000E+00     0.1027E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1760E+02     0.2153E+02     0.2261E+00     0.3151E-04     0.2694E-04     0.2463E+04     0.1274E+03     0.0000E+00     0.3657E-09     0.9004E-31     0.0000E+00     0.1506E+05     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.9466E+03     0.2128E+02     0.2291E+00     0.2665E-04     0.5372E-05     0.2061E+04     0.1076E+03     0.0000E+00     0.3657E-09     0.9004E-31     0.0000E+00     0.1727E+05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7008E+03
   120     4    30  2017         1     1  Comunidad_de_rieg          5.7562     0.1783E+04     0.7625E+03     0.4415E+03     0.2080E+05     0.2393E-02     0.1146E-04     0.2984E-04     0.1852E+03     0.8792E+01     0.0000E+00     0.3059E-05     0.7911E-05     0.0000E+00     0.2082E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1580E+02     0.1776E+01     0.3794E-01     0.3303E-04     0.8031E-04     0.5951E+03     0.2482E+02     0.0000E+00     0.2182E-05     0.5912E-05     0.0000E+00     0.1161E+04     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.4049E+03     0.1615E+01     0.2475E-01     0.2676E-04     0.5943E-04     0.4972E+03     0.2210E+02     0.0000E+00     0.2182E-05     0.5912E-05     0.0000E+00     0.1306E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3602E+03
   151     5    31  2017         1     1  Comunidad_de_rieg          5.7562     0.4162E+03     0.1050E+04     0.4263E+03     0.1565E+02     0.2512E-06     0.6912E-09     0.6346E-09     0.5080E-04     0.1217E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4809E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2227E+02     0.4344E+00     0.4708E-02     0.1214E-04     0.2353E-04     0.2327E+03     0.8886E+01     0.0000E+00     0.9344E-10     0.0000E+00     0.0000E+00     0.3530E+03     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.4148E-08     0.5411E+00     0.2336E-02     0.5667E-05     0.1959E-05     0.1892E+03     0.8596E+01     0.0000E+00     0.1019E-09     0.0000E+00     0.0000E+00     0.4386E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3329E-08
   181     6    30  2017         1     1  Comunidad_de_rieg          5.7562     0.7869E+03     0.1917E+03     0.3325E+03     0.3652E+02     0.1422E-07     0.5012E-11     0.0000E+00     0.1872E-09     0.1802E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1134E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2220E+02     0.1259E-02     0.1685E-05     0.6959E-05     0.2088E-04     0.5541E+00     0.1338E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1581E+00     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.1561E-02     0.0000E+00     0.2633E-03     0.1456E-02     0.1935E-07     0.3099E-09     0.1894E-13     0.4627E-08     0.3895E-10     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2611E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2277E-03
   212     7    31  2017         1     1  Comunidad_de_rieg          5.7562     0.1543E+03     0.5065E+02     0.1036E+03     0.3579E+02     0.1376E-07     0.4714E-11     0.0000E+00     0.1738E-09     0.1642E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1067E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2607E+02     0.8440E-05     0.1614E-05     0.7190E-05     0.2157E-04     0.7248E-02     0.1786E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6747E-04     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.1613E-02     0.0000E+00     0.4667E-01     0.8440E-05     0.6317E-09     0.2981E-12     0.0000E+00     0.1333E-10     0.1597E-12     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6747E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4667E-01
