 Comunidad_de_riego_Turia_ SWAT+ Jun 13 2023       MODULAR Rev 2023.60.5.7                                
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   366    12    31  2016      10      10  cha10                0.4514E-01     0.1154E+03     0.1967E+02     0.2844E+02     0.6047E-20     0.2516E-26     0.5549E-31     0.0000E+00     0.6248E-22     0.1284E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5777E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.2972E-03     0.7634E-03     0.1392E-05     0.4176E-05     0.1215E+03     0.1474E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1898E-03     0.1898E-03     0.1898E-03     0.1898E-03     0.1898E-03     0.0000E+00     0.1701E+04     0.2980E-03     0.2531E-02     0.5996E-07     0.0000E+00     0.8469E+02     0.1122E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8844E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1639E+04     0.1192E+02
   366    12    31  2016      11      11  cha11                0.3791E-01     0.9692E+02     0.1652E+02     0.2388E+02     0.5334E-20     0.2392E-26     0.4765E-31     0.0000E+00     0.5807E-22     0.1165E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4807E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.5665E-03     0.1486E-02     0.2322E-05     0.6967E-05     0.2308E+03     0.2800E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2296E-03     0.2296E-03     0.2296E-03     0.2296E-03     0.2296E-03     0.0000E+00     0.5130E+03     0.5672E-03     0.4810E-02     0.1075E-06     0.0000E+00     0.1560E+03     0.2053E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1567E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5048E+03     0.1192E+02
   366    12    31  2016      12      12  cha12                0.4087E-02     0.1045E+02     0.1781E+01     0.2575E+01     0.2953E-21     0.5257E-29     0.4144E-32     0.0000E+00     0.2788E-23     0.6148E-25     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2468E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.5328E-04     0.1349E-03     0.3326E-06     0.9979E-06     0.2179E+02     0.2644E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1138E-03     0.1138E-03     0.1138E-03     0.1138E-03     0.1138E-03     0.0000E+00     0.4852E+05     0.5336E-04     0.1833E-02     0.1569E-07     0.0000E+00     0.1643E+02     0.2196E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1359E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4795E+05     0.1192E+02
   366    12    31  2016      13      13  cha13                0.1434E+00     0.3667E+03     0.1508E+03     0.1488E+03     0.1021E-01     0.1062E-09     0.2714E-12     0.2071E-14     0.4065E-04     0.8035E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3748E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1335E-02     0.6393E-02     0.5548E-06     0.9569E-06     0.3675E+03     0.4797E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3745E+03     0.2368E-03     0.2368E-03     0.2368E-03     0.2368E-03     0.2368E-03     0.0000E+00     0.1138E+03     0.1333E-02     0.3310E-02     0.2212E-06     0.8705E-09     0.3562E+03     0.4713E+01     0.0000E+00     0.4406E-10     0.0000E+00     0.0000E+00     0.4197E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1110E+03     0.1192E+02
   366    12    31  2016      14      14  cha14                0.1699E+00     0.4345E+03     0.7405E+02     0.1071E+03     0.4068E-19     0.3324E-28     0.2526E-30     0.0000E+00     0.4411E-21     0.8342E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3956E-21     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.1315E-02     0.3361E-02     0.4519E-05     0.1356E-04     0.5334E+03     0.6459E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2260E-03     0.2260E-03     0.2260E-03     0.2260E-03     0.2260E-03     0.0000E+00     0.1204E+03     0.1319E-02     0.6285E-03     0.1878E-06     0.0000E+00     0.3319E+03     0.4344E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3934E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1164E+03     0.1192E+02
   366    12    31  2016      15      15  cha15                0.1154E-02     0.2950E+01     0.2744E+01     0.1823E+01     0.8093E+00     0.2922E-07     0.5204E-11     0.0000E+00     0.8223E-02     0.1558E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8653E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.4671E-02     0.9540E-02     0.6465E-06     0.5581E-08     0.1168E+04     0.1544E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1371E+04     0.2945E-03     0.2945E-03     0.2945E-03     0.2945E-03     0.2945E-03     0.0000E+00     0.1974E+02     0.4671E-02     0.4860E-02     0.6440E-06     0.0000E+00     0.1168E+04     0.1544E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1379E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1973E+02     0.1192E+02
   366    12    31  2016      16      16  cha16                0.2498E-02     0.6386E+01     0.1088E+01     0.1574E+01     0.1197E-21     0.5587E-33     0.1281E-32     0.0000E+00     0.1279E-23     0.2632E-25     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3499E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.2453E-03     0.5983E-03     0.1104E-05     0.3312E-05     0.9977E+02     0.1211E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2420E-03     0.2420E-03     0.2420E-03     0.2420E-03     0.2420E-03     0.0000E+00     0.2451E+04     0.2454E-03     0.1728E-01     0.5409E-07     0.0000E+00     0.6932E+02     0.9160E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2091E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2448E+04     0.1192E+02
   366    12    31  2016      17      17  cha17                0.2400E-02     0.6136E+01     0.1046E+01     0.1512E+01     0.5314E-21     0.1569E-32     0.4995E-32     0.0000E+00     0.5877E-23     0.1167E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2024E-23     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.7354E-03     0.2010E-02     0.2910E-05     0.8730E-05     0.2972E+03     0.3603E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2352E-03     0.2352E-03     0.2352E-03     0.2352E-03     0.2352E-03     0.0000E+00     0.3217E+03     0.7355E-03     0.4627E-03     0.1426E-06     0.0000E+00     0.1976E+03     0.2589E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6479E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3214E+03     0.1192E+02
   366    12    31  2016      18      18  cha18                0.1152E-01     0.2945E+02     0.5019E+01     0.7256E+01     0.2558E-20     0.7596E-32     0.1964E-31     0.0000E+00     0.2929E-22     0.5598E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1909E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.7765E-03     0.1688E-02     0.2572E-05     0.7715E-05     0.3145E+03     0.3807E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2058E-03     0.2058E-03     0.2058E-03     0.2058E-03     0.2058E-03     0.0000E+00     0.2924E+03     0.7767E-03     0.2909E-03     0.1243E-06     0.0000E+00     0.1975E+03     0.2565E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1554E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2914E+03     0.1192E+02
   366    12    31  2016      19      19  cha19                0.6044E-02     0.1546E+02     0.2634E+01     0.3808E+01     0.1418E-20     0.3163E-32     0.1383E-31     0.0000E+00     0.1541E-22     0.3131E-24     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1140E-22     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1192E+02     0.3144E-03     0.7375E-03     0.1338E-05     0.4013E-05     0.1284E+03     0.1558E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1820E-03     0.1820E-03     0.1820E-03     0.1820E-03     0.1820E-03     0.0000E+00     0.1528E+04     0.3145E-03     0.1563E-03     0.6428E-07     0.0000E+00     0.8790E+02     0.1159E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6981E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1521E+04     0.1192E+02
